"","Sample_1_1","Sample_1_2","Sample_1_3","Sample_1_4","Sample_2_1","Sample_2_2","Sample_2_3","Sample_2_4"
"ENSG00000142611",1,6,11,5,112,75,71,62
"ENSG00000284616",0,0,0,0,0,0,0,0
"ENSG00000157911",222,295,162,176,131,126,162,106
"ENSG00000260972",0,0,0,0,0,0,0,0
"ENSG00000224340",0,0,0,0,0,0,1,0
"ENSG00000229280",0,0,0,0,0,0,0,0
"ENSG00000142655",221,285,250,247,224,223,251,219
"ENSG00000232596",0,0,0,0,0,0,0,0
"ENSG00000231510",0,0,0,0,0,0,0,0
"ENSG00000149527",76,121,98,65,216,312,341,298
"ENSG00000171621",173,258,160,181,66,114,116,139
"ENSG00000272235",0,1,3,0,0,0,1,0
"ENSG00000284694",0,0,0,0,0,0,0,0
"ENSG00000224387",1,0,1,0,0,0,0,0
"ENSG00000142583",0,0,1,1,1,1,0,0
"ENSG00000284674",0,0,0,0,0,0,0,0
"ENSG00000224338",0,0,0,0,0,0,1,0
"ENSG00000287727",2,3,2,0,2,1,2,4
"ENSG00000173614",58,94,83,65,55,53,47,51
"ENSG00000215720",0,0,0,0,0,1,0,0
"ENSG00000241326",0,0,0,0,0,0,0,0
"ENSG00000233623",0,0,0,0,0,0,0,0
"ENSG00000204624",208,310,215,172,244,268,286,280
"ENSG00000142606",17,14,12,15,5,6,3,7
"ENSG00000225931",0,0,2,0,0,0,0,0
"ENSG00000171729",36,42,31,25,46,27,50,52
"ENSG00000229393",0,2,0,0,0,1,0,3
"ENSG00000287586",0,0,0,0,0,0,0,0
"ENSG00000227169",0,0,0,0,0,0,0,0
"ENSG00000283356",0,0,0,0,0,0,0,0
"ENSG00000157916",543,691,618,643,358,297,338,288
"ENSG00000157881",253,355,255,250,361,243,341,301
"ENSG00000225387",0,0,0,0,0,0,0,0
"ENSG00000048707",1425,2194,1527,1388,748,659,709,582
"ENSG00000225196",0,0,0,0,0,0,0,0
"ENSG00000162444",0,3,0,2,0,5,0,0
"ENSG00000279625",0,0,0,0,0,0,0,0
"ENSG00000180758",13,31,40,25,1,7,3,2
"ENSG00000184677",358,542,376,361,396,372,356,293
"ENSG00000285833",0,0,0,0,0,0,0,0
"ENSG00000131697",178,303,223,186,215,235,215,228
"ENSG00000280222",0,0,0,0,0,0,0,0
"ENSG00000285945",0,0,0,0,0,0,0,0
"ENSG00000197921",0,1,4,1,2,2,4,0
"ENSG00000284666",0,0,0,0,0,0,0,0
"ENSG00000234397",0,0,0,0,0,0,0,0
"ENSG00000204138",519,779,539,511,556,495,551,515
"ENSG00000233419",0,0,0,0,0,0,0,0
"ENSG00000225011",0,0,0,0,0,0,0,0
"ENSG00000284676",0,0,0,0,0,0,0,0
"ENSG00000090020",457,669,523,417,325,274,242,249
"ENSG00000158006",104,146,116,119,46,41,45,29
"ENSG00000196581",43,53,60,31,55,52,72,72
"ENSG00000169403",1,0,2,5,2,1,1,2
"ENSG00000171612",225,294,184,198,307,274,328,239
"ENSG00000270927",0,0,0,0,0,0,0,0
"ENSG00000188910",0,0,0,0,1,0,0,1
"ENSG00000230523",0,0,0,1,0,0,1,0
"ENSG00000233234",0,0,0,0,0,0,0,0
"ENSG00000189337",568,913,710,635,742,679,833,706
"ENSG00000028137",1,0,0,4,0,5,5,4
"ENSG00000283259",0,0,0,0,0,0,0,0
"ENSG00000130939",681,1059,700,708,770,603,733,606
"ENSG00000175147",7,38,13,12,15,11,17,32
"ENSG00000127472",0,0,0,0,1,0,0,0
"ENSG00000060656",410,579,458,410,364,505,548,513
"ENSG00000230214",0,0,0,0,0,0,0,0
"ENSG00000189280",1,0,0,0,0,1,0,1
"ENSG00000134698",407,606,407,434,1167,1086,1171,856
"ENSG00000272420",6,5,5,10,7,8,7,5
"ENSG00000273274",154,220,175,184,371,307,363,351
"ENSG00000236648",0,0,0,0,0,0,0,0
"ENSG00000232273",0,0,1,0,0,1,0,0
"ENSG00000130940",54,71,37,39,2,19,20,18
"ENSG00000163879",436,555,495,539,240,203,240,160
"ENSG00000227527",5,4,1,2,1,4,1,1
"ENSG00000116954",137,181,119,107,129,97,96,115
"ENSG00000163873",447,668,443,409,2339,2620,2945,2634
"ENSG00000117215",0,0,0,2,0,0,0,0
"ENSG00000230163",0,0,0,0,0,0,0,0
"ENSG00000227538",0,0,0,0,0,0,0,0
"ENSG00000044012",0,0,0,0,0,0,0,0
"ENSG00000179051",600,952,636,612,336,291,299,269
"ENSG00000215895",3,1,5,6,4,1,2,3
"ENSG00000126067",1035,1514,1162,1186,1191,916,1031,869
"ENSG00000274944",0,0,0,0,1,0,0,0
"ENSG00000272078",4,10,3,1,0,0,1,1
"ENSG00000230451",0,0,0,0,0,0,0,0
"ENSG00000231606",0,0,0,1,0,0,1,0
"ENSG00000254553",0,0,0,0,0,0,0,0
"ENSG00000284653",0,0,0,0,0,0,0,0
"ENSG00000237749",2,2,2,2,0,1,0,2
"ENSG00000276747",0,0,0,0,0,0,0,0
"ENSG00000228776",0,0,0,0,0,0,0,0
"ENSG00000159339",1,0,1,0,0,0,0,0
"ENSG00000261781",0,0,0,0,0,0,0,0
"ENSG00000158315",3,4,5,2,6,4,7,3
"ENSG00000186973",15,10,9,10,5,0,0,1
"ENSG00000146463",908,1329,993,1053,1192,990,1098,780
"ENSG00000142686",14,26,17,16,23,27,19,14
"ENSG00000224751",0,2,0,0,0,0,0,1
"ENSG00000117148",0,0,0,0,0,0,0,0
