"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","diffexpressed"
"ENSG00000142611",43.2445630916976,-3.8864155796946,0.372553988120803,-10.4318184843438,1.77459067460469e-25,1.89159787655009e-24,"PRDM16","DOWN"
"ENSG00000157911",168.10041963507,0.59916546197468,0.150629065486234,3.97775462551375,6.95691079875888e-05,0.000187686362943335,"PEX10","NO"
"ENSG00000149527",193.650316869585,-1.82036747986059,0.180335630389088,-10.0943306429961,5.85290005607177e-24,5.95132404863647e-23,"PLCH2","DOWN"
"ENSG00000171621",148.561665409769,0.689452192667517,0.204575277525524,3.37016379010654,0.000751235165169258,0.00174279583443349,"SPSB1","UP"
"ENSG00000173614",62.1888862194316,0.435722584403992,0.196289015146142,2.21980116452051,0.0264322678496489,0.0458697439519339,"NMNAT1","NO"
"ENSG00000204624",246.240414383083,-0.372913408446574,0.135879813003592,-2.74443569065492,0.00606150296025012,0.0120246347691313,"DISP3","NO"
"ENSG00000142606",9.83543677707003,1.37289404164206,0.499797965790073,2.74689801802577,0.00601618382617487,0.0119444939694481,"MMEL1","UP"
"ENSG00000157916",463.646134270774,0.873112594864724,0.0970194865856107,8.99935286808886,2.27052036998381e-19,1.89017205322856e-18,"RER1","UP"
"ENSG00000157881",291.556349680195,-0.263798631403574,0.1149438885875,-2.29502094148103,0.0217319241976728,0.0384953215223789,"PANK4","NO"
"ENSG00000048707",1117.92860523736,1.16873486468542,0.0767861674631386,15.220643291599,2.57981800681694e-52,6.13917195431745e-51,"VPS13D","UP"
"ENSG00000180758",14.6980912832765,2.96108075840192,0.551741127072533,5.36679361589925,8.01486784210803e-08,3.0323005901861e-07,"GPR157","UP"
"ENSG00000090020",384.932050978718,0.817484577435631,0.111783498197103,7.31310605429609,2.61036823020156e-13,1.53576061632114e-12,"SLC9A1","UP"
"ENSG00000158006",78.3451190262422,1.49800712101969,0.181381988735097,8.25885266484468,1.47079339992719e-16,1.04737010302443e-15,"PAFAH2","UP"
"ENSG00000196581",54.9650177158906,-0.528983545848154,0.239502782938269,-2.20867390081433,0.0271973310321585,0.0470724102645824,"AJAP1","NO"
"ENSG00000171612",253.423833000797,-0.448967350686292,0.113998064672597,-3.93837695381695,8.2034644848919e-05,0.000219158907331444,"SLC25A33","NO"
"ENSG00000134698",765.007718789954,-1.30751371545487,0.081005426228141,-16.1410633378119,1.31260346225312e-58,3.51219613025869e-57,"AGO4","DOWN"
"ENSG00000273274",266.281981678457,-1.02819909287261,0.114972155557244,-8.94302701283769,3.78653141255138e-19,3.11257645044318e-18,"ZBTB8B","DOWN"
"ENSG00000130940",31.5611334291814,1.63039898260787,0.372678934597904,4.37480853154999,1.21539109668773e-05,3.60653672620908e-05,"CASZ1","UP"
"ENSG00000163879",350.590426129267,1.18271132389947,0.112714122621053,10.4930180566261,9.30090936564235e-26,1.00337619702622e-24,"DNALI1","UP"
"ENSG00000163873",1590.91443447415,-2.54268244242309,0.110384773389755,-23.0347208617731,2.09301035563037e-117,1.73474824158613e-115,"GRIK3","DOWN"
"ENSG00000179051",483.81002148708,1.11854599896314,0.0919190209657278,12.1688197634327,4.55622739534979e-34,6.63935331684291e-33,"RCC2","UP"
"ENSG00000126067",1094.01905615369,0.192920730984724,0.072523852708092,2.66010041911629,0.00781173571020332,0.0151655851750531,"PSMB2","NO"
"ENSG00000117000",343.681634458715,-0.387305322044241,0.103083413570748,-3.75720310987206,0.000171823032838994,0.000438355127772874,"RLF","NO"
"ENSG00000092853",59.05866059981,1.23671408148891,0.218311892747077,5.66489560384004,1.47114075960864e-08,6.01013528408523e-08,"CLSPN","UP"
"ENSG00000134697",320.545917856616,0.258569164278159,0.105528521456853,2.45023014355297,0.0142764931659277,0.0262694277000517,"GNL2","NO"
"ENSG00000116151",73.4154715399809,0.466024180985095,0.196989569118002,2.3657302418177,0.0179945504873038,0.0324363894896858,"MORN1","NO"
"ENSG00000214114",25.7770993978148,1.06655860996234,0.299670371345878,3.55910597758536,0.000372119362601644,0.000904402816473256,"MYCBP","UP"
"ENSG00000116544",501.9228212158,-0.70452210396106,0.126158887330907,-5.58440327801199,2.3450398150858e-08,9.41729413805787e-08,"DLGAP3","DOWN"
"ENSG00000117016",3900.97749210891,-0.666207043684715,0.0729747016143325,-9.12928767020637,6.89514767634839e-20,5.8724538430494e-19,"RIMS3","DOWN"
"ENSG00000163866",196.449346874715,0.446010147203926,0.133734608012776,3.33503910342578,0.00085287405216717,0.001961534394898,"SMIM12","NO"
"ENSG00000117859",812.268229056904,0.725146142408072,0.0867055501088856,8.36331862836262,6.09782394250753e-17,4.42014192010006e-16,"OSBPL9","UP"
"ENSG00000162396",59.3972129465503,0.487084676535902,0.21716492911445,2.24292512848241,0.0249016430322768,0.0434532008587261,"PARS2","NO"
"ENSG00000162378",1195.27882759351,-0.25051488802252,0.0867817996547556,-2.88672151325675,0.00389278617757695,0.007987239456975,"ZYG11B","NO"
"ENSG00000162407",57.433294307972,1.80632067510469,0.225904572089765,7.99594562604485,1.28583122601083e-15,8.62517108612317e-15,"PLPP3","UP"
"ENSG00000157184",92.0775941628918,0.911746534428006,0.166380696505214,5.47988170249928,4.25610306895923e-08,1.66166009293856e-07,"CPT2","UP"
"ENSG00000198815",602.089090650969,0.28751299998677,0.0813591268216593,3.53387519284719,0.000409514404251189,0.000989485102763361,"FOXJ3","NO"
"ENSG00000162415",590.550987901441,-0.863112406492588,0.0879275182560167,-9.81618068622706,9.59085862542849e-23,9.20668242399184e-22,"ZSWIM5","DOWN"
"ENSG00000116704",219.805723848813,1.15362268698001,0.133183726125429,8.66188926035569,4.64009006782039e-18,3.60987959442931e-17,"SLC35D1","UP"
"ENSG00000157193",832.00440713018,-0.449866230318294,0.0818078461993367,-5.49905970170794,3.81821852663189e-08,1.49862210639876e-07,"LRP8","NO"
"ENSG00000162607",156.373083028828,0.352375068970495,0.141947002450381,2.48244107228451,0.0130485648034169,0.0242542571463577,"USP1","NO"
"ENSG00000154027",347.108465886345,0.485654184162208,0.12006395586932,4.04496237564256,5.23315278808454e-05,0.000143436843075245,"AK5","NO"
"ENSG00000116675",2415.99410998075,-0.152124795639567,0.0668699949614589,-2.27493355917323,0.0229099158132205,0.0403213569072332,"DNAJC6","NO"
"ENSG00000162433",99.5108402285652,1.53464683253576,0.243456555284232,6.30357572727537,2.90856000027575e-10,1.37543398176135e-09,"AK4","UP"
"ENSG00000213625",395.024557748929,1.84066046807531,0.108742003725018,16.9268581139068,2.85202698078076e-64,8.74707408491803e-63,"LEPROT","UP"
"ENSG00000158966",450.922609558341,0.528936434217452,0.106779601119937,4.95353446416549,7.28774433458074e-07,2.49548698083155e-06,"CACHD1","NO"
"ENSG00000117069",245.833788082835,3.05461069964165,0.142778423906143,21.3940637252702,1.51745594133949e-101,9.37567050883607e-100,"ST6GALNAC5","UP"
"ENSG00000143013",974.71067822523,-0.87642788289116,0.0892180559260225,-9.82343622929727,8.92483725360844e-23,8.57703109593105e-22,"LMO4","DOWN"
"ENSG00000142892",251.360832533745,0.747080640131825,0.118056591459764,6.3281569533239,2.48106711584195e-10,1.18050437875303e-09,"PIGK","UP"
"ENSG00000116641",1082.15427010046,0.322203960668633,0.0755942991143405,4.26227856390707,2.02352976247243e-05,5.85022872114498e-05,"DOCK7","NO"
"ENSG00000172260",561.500021092564,-0.716865979124995,0.146401003752155,-4.89659196830776,9.75130213492156e-07,3.28022915411705e-06,"NEGR1","DOWN"
"ENSG00000116157",7.22019659956136,3.38202478264419,0.788079489204227,4.29147672154142,1.77488811939248e-05,5.16389110215714e-05,"GPX7","UP"
"ENSG00000143036",11.6190002848841,2.86226898683256,0.560742893345707,5.10442311583239,3.31805137012958e-07,1.1816602563377e-06,"SLC44A3","UP"
"ENSG00000065243",199.494133165755,0.507461740130819,0.146160659457835,3.4719447901589,0.000516702588307354,0.00122684372246091,"PKN2","NO"
"ENSG00000036549",376.880775707568,0.349806060146181,0.0948794806555699,3.6868462783438,0.000227050415278663,0.000569587126236492,"ZZZ3","NO"
"ENSG00000142700",6.46564560843131,4.61656014396447,1.12109545362834,4.11790104849978,3.82338787164632e-05,0.000106462116235894,"DMRTA2","UP"
"ENSG00000127124",410.027029558395,0.668877009593259,0.124884338029763,5.35597193487826,8.50977181929823e-08,3.21238686917788e-07,"HIVEP3","UP"
"ENSG00000137936",164.781828150122,-0.819890810481246,0.196362398644139,-4.17539618655356,2.97467888201303e-05,8.40418504893306e-05,"BCAR3","DOWN"
"ENSG00000117519",1150.88985616003,1.15395739471053,0.0824023499224089,14.0039379434823,1.47467770192861e-44,2.93055541911919e-43,"CNN3","UP"
"ENSG00000134215",196.203923164324,-0.606046150139041,0.126864057884042,-4.77713042013038,1.7781445280978e-06,5.80004869973309e-06,"VAV3","DOWN"
"ENSG00000137962",87.2790629670779,4.08996811418273,0.28504143006959,14.3486794645403,1.08585136200472e-46,2.29759657432405e-45,"ARHGAP29","UP"
"ENSG00000260464",33.1574237346859,-1.53157502587304,0.283246342351119,-5.40721907707623,6.40108294191843e-08,2.45011940225582e-07,NA,"DOWN"
"ENSG00000117154",8.98149842993494,-1.41255516450766,0.619230342597143,-2.28114655781109,0.0225397759057726,0.0397563928594396,"IGSF21","DOWN"
"ENSG00000162377",445.707127323872,-0.79862596456451,0.0936688303427797,-8.52605889965692,1.51418185818449e-17,1.13687423563468e-16,"COA7","DOWN"
"ENSG00000116774",29.8900421245317,3.20536147310555,0.381741271193234,8.39668570046497,4.5925717616701e-17,3.35478877053038e-16,"OLFML3","UP"
"ENSG00000023909",136.556223754593,1.14049453283634,0.144888147877031,7.87155160409875,3.50269606187257e-15,2.29430642973311e-14,"GCLM","UP"
"ENSG00000069702",10.7232199777394,2.31641331116654,0.524839877123678,4.41356194933465,1.01683603534187e-05,3.04334350475492e-05,"TGFBR3","UP"
"ENSG00000116793",361.617799262867,1.16275029208945,0.112077425281859,10.3745271553597,3.23811424289418e-25,3.430099694577e-24,"PHTF1","UP"
"ENSG00000203914",37.0428963874109,1.68628700995212,0.266029193618735,6.33872917108812,2.31668054287245e-10,1.10538385576933e-09,"HSP90B3P","UP"
"ENSG00000198162",568.359669512662,0.514366339320062,0.0957634295965255,5.37121886180573,7.82062212346109e-08,2.96144841764491e-07,"MAN1A2","NO"
"ENSG00000143079",657.898168807703,-0.445469233035558,0.0808923010675277,-5.50694228198165,3.65119903189168e-08,1.43472531801276e-07,"CTTNBP2NL","NO"
"ENSG00000173947",35.7137717902983,5.78037847250423,0.680180770780099,8.4982973950803,1.92391688981521e-17,1.43499876535778e-16,"CIMAP3","UP"
"ENSG00000134198",814.508232900281,3.57867323224598,0.1337077702504,26.764886031261,8.28634759199218e-158,1.13543009625435e-155,"TSPAN2","UP"
"ENSG00000162688",327.055432646229,0.633990090747525,0.115204353735537,5.50317822365388,3.73005004924942e-08,1.46503190907991e-07,"AGL","UP"
"ENSG00000197106",285.045527031069,-0.477106571036333,0.139251774360367,-3.42621538021941,0.000612054842059939,0.00143678140666488,"SLC6A17","NO"
"ENSG00000185946",248.181490580105,1.06961678164863,0.1428925832506,7.48546045789355,7.129672240994e-14,4.33883456471093e-13,"RNPC3","UP"
"ENSG00000162627",100.158091675882,3.12109997664558,0.224237201843971,13.9187429694084,4.87400828943919e-44,9.52983600067448e-43,"SNX7","UP"
"ENSG00000265808",360.080469282475,1.075305846919,0.123330891149547,8.71886870269282,2.80995181936016e-18,2.21343956248255e-17,"SEC22B","UP"
"ENSG00000134247",1262.18381176613,2.93968001768371,0.102061339867244,28.8030709914989,1.9631739461512e-182,3.66552621088517e-180,"PTGFRN","UP"
"ENSG00000227850",16.4919131715082,1.10196299420726,0.387810785041447,2.84149651508401,0.00449023427171862,0.00911898941203179,"SEPTIN2P1","UP"
"ENSG00000183508",13.810830473096,5.72425534368032,1.04706434613337,5.46695660569382,4.57828076525015e-08,1.78212069833598e-07,"TENT5C","UP"
"ENSG00000143398",406.329512084309,0.298286730625277,0.106736847668641,2.79459940161708,0.00519640628527255,0.0104351895985186,"PIP5K1A","NO"
"ENSG00000155761",25.7265458313091,3.85828121936029,0.470656814158602,8.19765294646329,2.45125827351921e-16,1.71820665533684e-15,"SPAG17","UP"
"ENSG00000116830",73.4272947407131,2.7235122223357,0.228866613327673,11.8999979190341,1.18350105464742e-32,1.63954828601365e-31,"TTF2","UP"
"ENSG00000081026",389.98133078443,0.338058558192983,0.0938008640860144,3.60400260154306,0.00031335391654696,0.000769614974855363,"MAGI3","NO"
"ENSG00000163155",209.580638446587,-0.288681165454814,0.125315890507807,-2.30362777046882,0.0212435475791236,0.0377088504927799,"LYSMD1","NO"
"ENSG00000184371",68.9587968097193,2.47636407781489,0.24191162532594,10.2366476785824,1.35862543198458e-24,1.41102718305929e-23,"CSF1","UP"
"ENSG00000143158",291.897869790457,-0.482413247194146,0.11318879050521,-4.26202316537646,2.02584436753531e-05,5.8549279892486e-05,"MPC2","NO"
"ENSG00000135862",870.575546986655,3.73001935516931,0.113826738483388,32.7692720082081,1.6139606475568e-235,4.98596461138865e-233,"LAMC1","UP"
"ENSG00000143156",101.507738757793,0.392896343411982,0.157604523758049,2.49292554581205,0.0126695409963088,0.0236169139954232,"NME7","NO"
"ENSG00000143190",820.762719020925,-0.63675200039044,0.109530388308995,-5.81347341337006,6.11896940196494e-09,2.59466882812366e-08,"POU2F1","DOWN"
"ENSG00000143171",158.01006190528,0.690810170356821,0.165228694550702,4.18093341616786,2.90314874274391e-05,8.21438805794534e-05,"RXRG","UP"
"ENSG00000135842",6.48075288886344,2.40170628660177,0.708172385547185,3.39141476795376,0.000695327862782109,0.00162042829545144,"NIBAN1","UP"
"ENSG00000058085",62.1421553951613,4.48003871186244,0.359791623972646,12.4517593333497,1.36796040480718e-35,2.06788391797855e-34,"LAMC2","UP"
"ENSG00000143228",10.6690303326171,3.06903788352033,0.62115493583515,4.9408572748343,7.77798296000413e-07,2.65586230854964e-06,"NUF2","UP"
"ENSG00000157064",1945.34248779077,-0.586237113610411,0.0718757450985978,-8.15625789765689,3.45564163425132e-16,2.39848067841357e-15,"NMNAT2","NO"
"ENSG00000059588",342.503925712946,-0.587058451531384,0.145823154806797,-4.02582465253331,5.67759869676238e-05,0.000154794735970298,"TARBP1","NO"
"ENSG00000162851",51.4451314902657,0.795097646780738,0.226711214404995,3.50709447200253,0.000453028281671458,0.00108643663145797,"TFB2M","UP"
"ENSG00000143353",85.413356712471,1.03640228180663,0.17596168169312,5.8899316705448,3.8635533233355e-09,1.66655583947178e-08,"LYPLAL1","UP"
"ENSG00000197965",2079.35341767683,0.949924690628168,0.0884598212687029,10.7384875642322,6.71351629537067e-27,7.57935916110585e-26,"MPZL1","UP"
"ENSG00000179397",15.2846124425898,1.86760481573044,0.414703393018888,4.50347126927263,6.68524093327443e-06,2.04339784506334e-05,"CATSPERE","UP"
"ENSG00000186197",18.6268032557337,1.1979933733679,0.368362316619371,3.25221478777316,0.0011450945404005,0.00257596999019527,"EDARADD","UP"
"ENSG00000092978",184.578876231581,0.302544792940852,0.130069501265178,2.32602408710741,0.0200172657322982,0.035733700573385,"GPATCH2","NO"
"ENSG00000188404",9.77102589105935,5.95319729436682,1.08954842844727,5.46391251543615,4.65753137931037e-08,1.8121391267658e-07,"SELL","UP"
"ENSG00000116574",466.356044397202,1.29353445668425,0.100679545993335,12.8480362512748,8.82214115560212e-38,1.4371716239198e-36,"RHOU","UP"
"ENSG00000143248",60.8996809930421,3.08699815588552,0.286431577392933,10.7774365661182,4.39976224640749e-27,5.00042544004747e-26,"RGS5","UP"
"ENSG00000162814",27.8279184230456,1.79957039355248,0.324036105530752,5.55361073299191,2.79828259871083e-08,1.11179885844406e-07,"SPATA17","UP"
"ENSG00000143476",22.0680044624876,5.08159825853894,0.699648095851384,7.26307737942926,3.78381327687512e-13,2.20324781999263e-12,"DTL","UP"
"ENSG00000057252",238.991156805435,0.533037466070668,0.122962061497672,4.3349750287064,1.45776669591288e-05,4.28305618714434e-05,"SOAT1","NO"
"ENSG00000162852",460.085527685359,0.736838054532984,0.0875830713912445,8.41301912376921,3.99589787716359e-17,2.93660470721828e-16,"CNST","UP"
"ENSG00000116962",52.9476535968432,2.69242507665245,0.270114092965272,9.96773269804403,2.10990248392624e-23,2.09890826138119e-22,"NID1","UP"
"ENSG00000143195",230.274263867408,2.83010879559055,0.176555457655418,16.029574124602,7.94252030287518e-58,2.09226918552174e-56,"ILDR2","UP"
"ENSG00000162849",1234.73271892123,1.26832314799539,0.106495521495933,11.9096383601805,1.05433537642728e-32,1.4659748265856e-31,"KIF26B","UP"
"ENSG00000067533",145.267868039819,-0.400871085801195,0.134994388892365,-2.96953887558113,0.00298247072321585,0.006241551922424,"RRP15","NO"
"ENSG00000152104",172.402507527374,6.13520284210585,0.356867133464952,17.1918405108841,3.05672647572415e-66,9.76256382500545e-65,"PTPN14","UP"
"ENSG00000117650",9.93750061006896,4.65181542212092,0.923691068561969,5.03611605703086,4.75072586070947e-07,1.66089677159084e-06,"NEK2","UP"
"ENSG00000203724",11.5488053460673,3.82203809544372,0.682764605110553,5.59788551842821,2.16981951813901e-08,8.73842224050721e-08,"C1orf53","UP"
"ENSG00000152382",269.494723863215,-0.246201894076887,0.108525845454449,-2.26860148424482,0.023292571278776,0.0409143056546762,"TADA1","NO"
"ENSG00000134717",994.621662349175,-0.322708683594858,0.0756056726546911,-4.26831310751965,1.96956743604971e-05,5.6990668095914e-05,"BTF3L4","NO"
"ENSG00000116906",407.919160575889,0.409629622013749,0.0910419578522752,4.49934987863963,6.81615942112175e-06,2.08035503366768e-05,"GNPAT","NO"
"ENSG00000092969",121.321029968304,2.74241269832546,0.241065668206275,11.3762059887301,5.49381589930126e-30,6.97648923355962e-29,"TGFB2","UP"
"ENSG00000157181",144.578441846858,0.535358091988264,0.149419233876046,3.58292622777319,0.000339766587216576,0.000830046597181431,"ODR4","NO"
"ENSG00000076258",10.5731546982022,5.31808007082072,1.07146528337488,4.96337133207893,6.92799439445891e-07,2.3804560719161e-06,"FMO4","UP"
"ENSG00000162669",46.2490080405139,-0.509674483255503,0.229018905901646,-2.22546903387263,0.0260497676865521,0.0452660669627947,"HFM1","NO"
"ENSG00000143641",1811.25646006367,2.17542331023107,0.0790825415330532,27.5082624819517,1.39832920787219e-166,2.26276300675775e-164,"GALNT2","UP"
"ENSG00000010072",88.6173277336446,0.921790688243084,0.168718376236703,5.46348719566777,4.66870960282082e-08,1.81607245562107e-07,"SPRTN","UP"
"ENSG00000135766",266.137434915833,-0.447859306533831,0.134174146028636,-3.33789571083424,0.00084415426620686,0.00194270962171485,"EGLN1","NO"
"ENSG00000168243",3929.3629240613,-0.752672199477644,0.0794474557196321,-9.4738364200586,2.69750238988953e-21,2.45228802068555e-20,"GNG4","DOWN"
"ENSG00000116183",37.5351381560522,0.951822486200031,0.262884376299534,3.6206886829802,0.000293819885870459,0.00072436066175638,"PAPPA2","UP"
"ENSG00000066027",59.4927513789603,1.15697631154601,0.237489089799536,4.87170300127307,1.10640402543695e-06,3.70203048369422e-06,"PPP2R5A","UP"
"ENSG00000008118",138.289063944743,0.526818243426356,0.170904920452229,3.08252238749095,0.002052542907359,0.00441564402873345,"CAMK1G","NO"
"ENSG00000171161",418.283096265949,-0.210737641097369,0.0861456175235027,-2.44629555345488,0.0144332629472551,0.026529161698054,"ZNF672","NO"
"ENSG00000074964",767.07825161202,-0.569630038864273,0.0802181657917676,-7.10101051603366,1.2384795232822e-12,6.97712386607687e-12,"ARHGEF10L","NO"
"ENSG00000198797",124.527311283915,-3.63406233000105,0.247123829243727,-14.7054306382447,5.94912538281001e-49,1.32827318501084e-47,"BRINP2","DOWN"
"ENSG00000151414",327.386209450641,3.39538448252829,0.172702330189072,19.6603281427128,4.7166645746983e-86,2.25748867010419e-84,"NEK7","UP"
"ENSG00000177614",544.379243414799,-0.637573834790695,0.0905389633894757,-7.04198293112782,1.89523049586848e-12,1.05718520536117e-11,"PGBD5","DOWN"
"ENSG00000197472",11.4336143599561,-1.18944553111465,0.440451717744222,-2.70051286712289,0.00692326589424778,0.0135709749433738,"ZNF695","DOWN"
"ENSG00000090104",39.1377338013032,7.96537245968325,1.04056025022885,7.65488827574512,1.93480377042732e-14,1.21801596381366e-13,"RGS1","UP"
"ENSG00000035687",372.374879683492,0.882361122891468,0.0966874314554024,9.12591336443208,7.11338728079394e-20,6.04922739179028e-19,"ADSS2","UP"
"ENSG00000180287",175.422907859704,1.8170532921995,0.158758696673556,11.4453779872971,2.48021071085022e-30,3.18528043749479e-29,"PLD5","UP"
"ENSG00000198756",759.898147699214,1.6294526240087,0.134847184434723,12.0836977860482,1.2879454476096e-33,1.84359571190688e-32,"COLGALT2","UP"
"ENSG00000183780",69.9073010746001,-2.69842590657333,0.227681174754563,-11.8517743484159,2.10681992807237e-32,2.89619558235256e-31,"SLC35F3","DOWN"
"ENSG00000162702",505.5061358306,-0.309334008741441,0.0830448971686606,-3.72490085830556,0.000195391997528894,0.000494769810732256,"ZNF281","NO"
"ENSG00000134245",95.3524895654254,-0.488290584174735,0.160344692570938,-3.04525566980467,0.0023248258754445,0.00495933665407126,"WNT2B","NO"
"ENSG00000097046",123.900877688848,-1.04458013042845,0.167010847957035,-6.25456455796917,3.98626544483569e-10,1.86637189785625e-09,"CDC7","DOWN"
"ENSG00000185420",180.816177934278,0.904205728399595,0.140971202856339,6.41411657188635,1.41641798272871e-10,6.88290790522816e-10,"SMYD3","UP"
"ENSG00000136636",484.214088942956,-0.342761317246893,0.085261631033255,-4.02011213124933,5.81704476227088e-05,0.000158469468583846,"KCTD3","NO"
"ENSG00000163874",9.34896041498608,2.67999936350819,0.610069349983561,4.39294215252808,1.11826890156767e-05,3.3310846610337e-05,"ZC3H12A","UP"
"ENSG00000054392",40.0550241525942,1.9332089715657,0.280258192763574,6.89795703205923,5.27556967611033e-12,2.84381993549463e-11,"HHAT","UP"
"ENSG00000143341",70.8764299701916,6.1022464721452,0.54739518247353,11.1477898737998,7.34070258338263e-29,9.01198537530739e-28,"HMCN1","UP"
"ENSG00000162545",3146.28055221946,-2.07806947279878,0.0981594559329514,-21.1703442429247,1.79243478006799e-99,1.05381520235762e-97,"CAMK2N1","DOWN"
"ENSG00000090432",303.609817159843,0.366443369815183,0.0970644694322699,3.77525753716587,0.000159842434996946,0.000409882706464398,"MUL1","NO"
"ENSG00000183114",71.7244176385107,4.36077802837259,0.3235772275102,13.4767766629533,2.14264876069832e-41,3.87707615474176e-40,"FAM43B","UP"
"ENSG00000162630",203.797247571567,-1.0509020372587,0.199365576126584,-5.27123116074689,1.35511668249852e-07,5.00974489824464e-07,"B3GALT2","DOWN"
"ENSG00000007968",9.77863409762012,4.15755201389785,0.817654551114939,5.08472925177104,3.68150851945581e-07,1.30572635990671e-06,"E2F2","UP"
"ENSG00000117318",1276.4705057822,7.79132588587511,0.234874553005421,33.1722861679923,2.70285811819592e-241,8.66495514835225e-239,"ID3","UP"
"ENSG00000117308",293.955113874003,-0.748109041411374,0.114513904978901,-6.53291005619983,6.45038852170969e-11,3.22159175109845e-10,"GALE","DOWN"
"ENSG00000213085",7.74893802820609,5.61493762117226,1.10106949649676,5.09953062820933,3.40496771920411e-07,1.21210573050486e-06,"CFAP45","UP"
